id,english,sanskrit,tamil,telugu,kannada
MES,Mesham,मेष,மேஷம்,మేషం,ಮೇಷ
VRU,Vrushabham,वृषभ,ரிஷபம்,వృషభం,ವೃಷಭ
MIT,Mithunam,मिथुन,மிதுனம்,మిథునం,ಮಿಥುನ
KTK,Katakam,कर्क,கடகம்,కర్కాటకం,ಕಟಕ
SIM,Simham,सिंह,சிம்மம்,సింహం,ಸಿಂಹ
KNY,Kanya,कन्या,கன்னி,కన్యా,ಕನ್ಯಾ
TUL,Tulam,तुला,துலாம்,తులా,ತುಲಾ
VCH,Vrushchikam,वृश्चिक,விருச்சிகம்,వృశ్చికం,ವೃಶ್ಚಿಕ
DHA,Dhanus,धनुस्,தனுசு,ధనుస్సు,ಧನುಸ್ಸು
MAK,Makaram,मकर,மகரம்,మకరం,ಮಕರ
KUM,Kumbham,कुम्भ,கும்பம்,కుంభం,ಕುಂಭ
MNM,Meenum,मीन,மீனம்,మీనం,ಮೀನ
